frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,eth.src,eth.dst,frame.cap_len,frame.coloring_rule.name,frame.coloring_rule.string,frame.comment,frame.comment.expert,frame.encap_type,frame.file_off,frame.ignored,frame.incomplete,frame.interface_id,frame.interface_name,frame.len,frame.link_nr,frame.marked,frame.md5_hash,frame.number,frame.offset_shift,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len
"0.029300000","0.029300000","1509005641.975980000",,"4.537400000","178.62.82.186","192.168.1.116","1883","2632","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","54",,,,,"1",,"0",,,,"54",,"0",,"26","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.001766000","0.001766000","1509005641.977746000",,"4.539166000","178.62.82.186","192.168.1.116","1883","2632","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","58",,,,,"1",,"0",,,,"58",,"0",,"27","0.000000000",,,"0x00000000","0","0","0",,,,,,,,,"0","0x00000020",,"2",,,"2",,,,,"0","0",,,,,,,,,,,
"0.024825000","0.024825000","1509005642.002571000",,"4.563991000","192.168.1.116","178.62.82.186","2632","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","70",,,,,"1",,"0",,,,"70",,"0",,"28","0.000000000",,,,,,,,,,,,,,,"0","0x00000082",,"14",,"60339","8",,,,,"1","0","0",,"presence2","9",,,,,,,
"0.030848000","0.030848000","1509005642.033419000",,"4.594839000","178.62.82.186","192.168.1.116","1883","2632","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","59",,,,,"1",,"0",,,,"59",,"0",,"29","0.000000000",,,,,,,,,,,,,,,"0","0x00000090",,"3",,"60339","9",,,,,"0","0",,"0",,,,,,,,,
"0.041193000","0.041193000","1509005642.074612000",,"4.636032000","192.168.1.116","178.62.82.186","2632","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"30","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.401165000","0.401165000","1509005642.475777000",,"5.037197000",,,,,"18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","42",,,,,"1",,"0",,,,"42",,"0",,"31","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.081926000","0.081926000","1509005642.557703000",,"5.119123000",,,,,"98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","42",,,,,"1",,"0",,,,"42",,"0",,"32","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.639537000","0.639537000","1509005643.197240000",,"5.758660000","52.18.158.203","192.168.1.116","443","2619","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","85",,,,,"1",,"0",,,,"85",,"0",,"33","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.179792000","0.179792000","1509005643.377032000",,"5.938452000","192.168.1.116","52.18.158.203","2619","443","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"34","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.881611000","0.881611000","1509005644.258643000",,"6.820063000","192.168.1.116","178.62.82.186","2632","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"35","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
